"Отметка времени","1.    Стабильность или новшество?","2. Часто ли вы фотографируете?","3.Ведете ли вы блог?","4. За что вы готовы переплатить, покупая смартфон?","5. Статус или технологичность?","6. VPN или ""запрет""?","7.Сколько Вам лет?","8. Сколько в среднем вы готовы потратить на новый телефон?","9. Насколько вам важна возможность кастомизации интерфейса?","10.Можете ли вы поставить рингтон из файла?","11.Как вы относитесь к перепродаже своего смартфона спустя 2-3 года? ","12. Насколько Вам важна возможность настройки системы под себя? ","13. Как часто вы меняете телефон? В годах. ","14. Насколько важна актуальность и обслуживание старых версий ОС? ","15. Ваша сфера деятельности? ","16. Какого вы пола?","17. Вы ведете инстаграм? ","18. Сколько раз в день вы примерно заряжаете телефон? В ответ число","19. Что бы вы выбрали экономить и откладывать или порадовать себя? ","20. Ваша гарнитура от одного бренда? или от разных?","21. Как часто вы кушаете яблоки от 1 до 10?","22. У Вас айфон или андроид?"
"2026/09/14 8:08:52 PM GMT+3","Новшество","Каждый день","Нет","Статус;Камера;Экосистема;Надежность","Технологичность","VPN","21","100000","6","Не знаю","Плохо","Не знаю","3","Не важна","IT","М","Нет","1","Порадовать себя","От разных брендов","1","Айфон"
"2026/09/14 8:09:00 PM GMT+3","Стабильность","Раз в месяц","Нет","Статус;Экосистема;Надежность","Статус","VPN","22","70000","4","Да","Плохо","Нет","4","Не важна","Программирование","М","Нет","2","Порадовать себя","От разных брендов","3","Андроид"
"2026/09/14 8:09:01 PM GMT+3","Стабильность","Раз в неделю","Нет","Камера;Надежность","Технологичность","VPN","22","100000","5","Да","Хорошо","Не знаю","7","Важна","Дизайн","М","Нет","2","Экономить и откладывать","От разных брендов","1","Андроид"
"2026/09/14 8:09:02 PM GMT+3","Стабильность","Каждый день","Нет","Камера;Экосистема;Надежность","Статус","VPN","22","40000","4","Не знаю","Хорошо","Не знаю","3","Важна","IT","М","Нет","3","Экономить и откладывать","От одного бренда","7","Айфон"
"2026/09/14 8:09:04 PM GMT+3","Стабильность","Каждый день","Нет","Камера;Экосистема","Технологичность","VPN","22","80000","1","Нет","Хорошо","Не знаю","3","Важна","IT","М","Нет","2","Порадовать себя","От одного бренда","10","Айфон"
"2026/09/14 8:09:14 PM GMT+3","Стабильность","Каждый день","Да","Надежность","Технологичность","VPN","22","40000","7","Да","Хорошо","Да","4","Важна","корпоративные системы","М","Нет","0.5","Порадовать себя","От разных брендов","8","Андроид"
"2026/09/14 8:09:25 PM GMT+3","Стабильность","Каждый день","Нет","Статус;Камера;Экосистема;Надежность","Статус","VPN","22","100.000","5","Да","Хорошо","Не знаю","3","Важна","программист","М","Нет","2","Экономить и откладывать","От одного бренда","5","Айфон"
"2026/09/14 8:09:27 PM GMT+3","Стабильность","Каждый день","Нет","Надежность","Технологичность","VPN","22","25000","7","Да","Плохо","Да","5","Важна","Студент","М","Нет","1","Экономить и откладывать","От разных брендов","5","Андроид"
"2026/09/14 8:09:38 PM GMT+3","Новшество","Каждый день","Да","Статус","Статус","VPN","34","100000","10","Да","Хорошо","Не знаю","3","Не важна","Бизнес ","Ж","Да","3","Порадовать себя","От одного бренда","1","Андроид"
"2026/09/14 8:09:40 PM GMT+3","Новшество","Каждый день","Нет","Экосистема;Надежность","Технологичность","VPN","21","70000","9","Да","Хорошо","Да","4","Важна","IT","М","Нет","1","Экономить и откладывать","От разных брендов","5","Андроид"
"2026/09/14 8:10:10 PM GMT+3","Стабильность","Раз в месяц","Нет","Надежность","Технологичность","VPN","21","30000","3","Да","Плохо","Нет","5","Не важна","Студент ","М","Нет","1","Экономить и откладывать","От разных брендов","8","Андроид"
"2026/09/14 8:10:14 PM GMT+3","Стабильность","Раз в неделю","Да","Камера;Экосистема;Надежность","Технологичность","VPN","21","90.000","5","Да","Хорошо","Да","3","Важна","Студент","М","Да","4","Порадовать себя","От разных брендов","3","Айфон"
"2026/09/14 8:10:17 PM GMT+3","Стабильность","Раз в неделю","Нет","Экосистема;Надежность","Технологичность","VPN","22","70000","7","Да","Плохо","Да","5","Не важна","ИТ","М","Нет","1","Экономить и откладывать","От разных брендов","8","Андроид"
"2026/09/14 8:10:34 PM GMT+3","Новшество","Каждый день","Да","Камера","Технологичность","VPN","22","50000","10","Да","Хорошо","Да","2","Важна","Дизайн","Ж","Да","2","Экономить и откладывать","От одного бренда","8","Андроид"
"2026/09/14 8:11:40 PM GMT+3","Стабильность","Раз в неделю","Нет","Экосистема;Надежность","Технологичность","VPN","22","20000","5","Да","Плохо","Нет","4 ","Не важна","Программист ","М","Нет","1","Экономить и откладывать","От разных брендов","5","Андроид"
"2026/09/14 8:11:51 PM GMT+3","Новшество","Раз в месяц","Нет","Экосистема;Надежность","Технологичность","VPN","22","60000","5","Не знаю","Хорошо","Да","6","Важна","Ит","М","Нет","1","Экономить и откладывать","От разных брендов","3","Андроид"
"2026/09/14 8:13:50 PM GMT+3","Стабильность","Раз в месяц","Нет","Экосистема;Надежность","Технологичность","Запрет","22","40000","5","Да","Хорошо","Да","7","Важна","IT","М","Нет","1","Экономить и откладывать","От одного бренда","5","Андроид"
"2026/09/14 8:14:07 PM GMT+3","Новшество","Раз в неделю","Нет","Надежность","Технологичность","VPN","21","70","5","Нет","Хорошо","Не знаю","3","Не важна","ИТ","М","Нет","1","Порадовать себя","От одного бренда","2","Айфон"
"2026/09/14 8:16:15 PM GMT+3","Новшество","Раз в месяц","Нет","Надежность","Технологичность","Запрет","21","65000","6","Да","Хорошо","Да","3","Не важна","ИТ","М","Нет","2","Порадовать себя","От разных брендов","10","Андроид"
"2026/09/14 8:17:43 PM GMT+3","Стабильность","Раз в неделю","Нет","Статус;Камера;Экосистема;Надежность","Статус","VPN","23","100000","4","Да","Хорошо","Да","4","Не важна","Разработка ","М","Да","2","Порадовать себя","От одного бренда","3","Айфон"
"2026/09/14 8:17:53 PM GMT+3","Стабильность","Каждый день","Да","Статус;Камера;Экосистема;Надежность","Статус","VPN","21","60","4","Да","Хорошо","Нет","4","Важна","предприниматель ","М","Да","2","Порадовать себя","От разных брендов","1","Айфон"
"2026/09/14 8:20:53 PM GMT+3","Новшество","Каждый день","Да","Статус;Камера;Надежность","Статус","VPN","20","120","6","Да","Хорошо","Не знаю","3","Не важна","ИТ","Ж","Да","1","Порадовать себя","От одного бренда","5","Айфон"
"2026/09/14 8:49:37 PM GMT+3","Стабильность","Раз в неделю","Нет","Камера;Экосистема","Технологичность","VPN","22","60000","4","Да","Хорошо","Да","3","Важна","It","М","Нет","1","Порадовать себя","От разных брендов","4","Андроид"
"2026/09/14 8:50:06 PM GMT+3","Стабильность","Каждый день","Нет","Камера","Технологичность","VPN","20","50000","6","Да","Хорошо","Да","7","Не важна","It","Ж","Да","3","Экономить и откладывать","От разных брендов","5","Андроид"
"2026/09/14 9:17:52 PM GMT+3","Стабильность","Раз в неделю","Нет","Надежность","Технологичность","VPN","22","50000","8","Да","Хорошо","Да","5","Важна","IT","М","Нет","1","Экономить и откладывать","От разных брендов","3","Андроид"
"2026/09/14 9:24:39 PM GMT+3","Стабильность","Каждый день","Нет","Экосистема;Надежность","Технологичность","VPN","22","60000","2","Да","Хорошо","Нет","4","Важна","Программирование","М","Нет","1","Экономить и откладывать","От одного бренда","5","Айфон"
"2026/09/14 9:30:08 PM GMT+3","Стабильность","Раз в неделю","Нет","Экосистема;Надежность","Технологичность","VPN","21","25000","5","Да","Плохо","Да","4","Важна","IT","М","Нет","1","Экономить и откладывать","От разных брендов","4","Андроид"
"2026/09/14 10:26:27 PM GMT+3","Новшество","Раз в неделю","Да","Камера;Надежность","Технологичность","VPN","22","50000","5","Да","Плохо","Не знаю","2","Важна","Крутой","М","Нет","2","Порадовать себя","От разных брендов","10","Айфон"
"2026/09/14 10:30:34 PM GMT+3","Новшество","Раз в месяц","Нет","Статус;Экосистема;Надежность","Технологичность","Запрет","22","100000","4","Да","Хорошо","Нет","4","Не важна","бар","М","Нет","1","Экономить и откладывать","От одного бренда","3","Айфон"
"2026/09/14 10:34:06 PM GMT+3","Новшество","Каждый день","Нет","Статус;Камера;Экосистема;Надежность","Технологичность","VPN","21","100000","7","Да","Хорошо","Нет","1.5","Не важна","Спорт","М","Да","2","Экономить и откладывать","От одного бренда","10","Айфон"
"2026/09/15 7:55:06 PM GMT+3","Новшество","Каждый день","Да","Экосистема","Статус","VPN","5","3","6","Нет","Хорошо","Нет","1","Важна","5","М","Нет","5","Экономить и откладывать","От разных брендов","2","Андроид"
